Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Val AUC,Val PR AUC,Natural Precision,Natural Recall,Natural F1,Attacked Precision,Attacked Recall,Attacked F1
1,0.37654793858528135,9.66796875,0.89425,0.904,0.5,0.952,0.0,0.0,0.0,0.904,1.0,0.9495798319327732
2,0.20645551466941833,0.8087803423404694,0.90775,0.904,0.9558213495575221,0.9950944268602409,0.0,0.0,0.0,0.904,1.0,0.9495798319327732
3,0.15465010929107667,9.66796875,0.934125,0.904,0.5,0.952,0.0,0.0,0.0,0.904,1.0,0.9495798319327732
4,0.12814336305856705,9.66796875,0.945875,0.904,0.5,0.952,0.0,0.0,0.0,0.904,1.0,0.9495798319327732
5,0.11405614186823368,9.66796875,0.951,0.904,0.5,0.952,0.0,0.0,0.0,0.904,1.0,0.9495798319327732
6,0.10932005424052477,1.5605554124340415,0.95575,0.904,0.9754332595870207,0.9972948789395507,0.0,0.0,0.0,0.904,1.0,0.9495798319327732
7,0.09153845170885325,0.0919286129064858,0.965375,0.962,0.9933052175516225,0.9992909725453465,0.953125,0.6354166666666666,0.7625000000000001,0.9626068376068376,0.9966814159292036,0.9793478260869566
8,0.0859270711094141,0.16872987989336252,0.965375,0.915,0.9915998340707964,0.9991175650550993,1.0,0.11458333333333333,0.205607476635514,0.9140546006066734,1.0,0.9550977284733227
9,0.08563497741147875,0.08053380926139653,0.966125,0.975,0.9946418694690264,0.9994310442722001,0.8198198198198198,0.9479166666666666,0.8792270531400965,0.9943757030371203,0.9778761061946902,0.9860568878973788
10,0.08448325942829252,0.08265485800802708,0.966625,0.975,0.9946994837758113,0.9994373898405381,0.865979381443299,0.875,0.8704663212435233,0.9867109634551495,0.9856194690265486,0.9861649142224681
11,0.0831985028386116,0.09546124516054988,0.967875,0.969,0.9943307522123894,0.9993962642817399,0.773109243697479,0.9583333333333334,0.8558139534883721,0.9954597048808173,0.9701327433628318,0.9826330532212885
12,0.08053702052682638,0.07602578902151436,0.9685,0.978,0.9953562868731564,0.9995049230840828,0.8936170212765957,0.875,0.8842105263157894,0.9867549668874173,0.9889380530973452,0.9878453038674033
13,0.07791149562969804,0.11821763665648177,0.970625,0.944,0.9953447640117994,0.9995036422717694,0.6351351351351351,0.9791666666666666,0.7704918032786885,0.9976525821596244,0.9402654867256637,0.9681093394077449
14,0.081065488435328,0.09847409394569695,0.968375,0.95,0.9948262352507375,0.9994501112937855,1.0,0.4791666666666667,0.647887323943662,0.9475890985324947,1.0,0.9730893433799784
15,0.07700940189138054,0.07267558900639415,0.971,0.976,0.9946764380530974,0.9994354630447537,0.8673469387755102,0.8854166666666666,0.8762886597938144,0.9878048780487805,0.9856194690265486,0.9867109634551495
16,0.0776524228155613,0.26908543007448316,0.968875,0.906,0.9935299133480826,0.999319382118488,1.0,0.020833333333333332,0.04081632653061225,0.905811623246493,1.0,0.9505783385909569
17,0.07493573315814138,0.07558207004331052,0.971625,0.968,0.9945151179941003,0.9994187095437328,0.9571428571428572,0.6979166666666666,0.8072289156626506,0.9688172043010753,0.9966814159292036,0.9825517993456925
18,0.07353255799785256,0.42140510212630033,0.973125,0.904,0.9915306969026549,0.9991127260256216,0.0,0.0,0.0,0.904,1.0,0.9495798319327732
19,0.06970167694613337,0.06496436771703884,0.971875,0.982,0.9963011615044247,0.999603792935843,0.9333333333333333,0.875,0.9032258064516129,0.9868131868131869,0.9933628318584071,0.9900771775082691
20,0.07310077590867876,0.47987613268196583,0.971125,0.904,0.9933397861356933,0.9993016484609916,0.0,0.0,0.0,0.904,1.0,0.9495798319327732
21,0.06735470816120505,0.5096191563643515,0.9765,0.904,0.9950221238938053,0.9994709914912183,0.0,0.0,0.0,0.904,1.0,0.9495798319327732
22,0.07053242149949074,0.2222675010561943,0.974625,0.911,0.9957250184365782,0.9995457234399724,1.0,0.07291666666666667,0.13592233009708737,0.9103726082578046,1.0,0.9530838165524512
23,0.07028626170381903,0.07218237471533939,0.974125,0.98,0.9959785213864306,0.9995711225205759,0.8518518518518519,0.9583333333333334,0.9019607843137256,0.9955156950672646,0.9823008849557522,0.9888641425389755
24,0.06659175411984325,0.07029718352714553,0.9745,0.97,0.9968773045722714,0.9996629490876348,0.7704918032786885,0.9791666666666666,0.8623853211009173,0.9977220956719818,0.9690265486725663,0.9831649831649831
25,0.0669130978807807,0.05738400761038065,0.973875,0.984,0.9970271017699115,0.999678614944945,0.8846153846153846,0.9583333333333334,0.9199999999999999,0.9955357142857143,0.9867256637168141,0.991111111111111
26,0.06352269986271858,0.069524705351796,0.97825,0.971,0.9972345132743362,0.9996997334244304,0.7723577235772358,0.9895833333333334,0.8675799086757991,0.9988597491448119,0.9690265486725663,0.9837170129140932
27,0.0639090521223843,0.06098109163576737,0.975375,0.983,0.9971884218289085,0.9996953765097374,0.8691588785046729,0.96875,0.916256157635468,0.9966405375139977,0.9845132743362832,0.9905397885364496
28,0.06610442444309592,0.07483757543377578,0.974,0.966,0.9968773045722714,0.9996629677902655,0.7421875,0.9895833333333334,0.8482142857142857,0.9988532110091743,0.963495575221239,0.9808558558558559
29,0.06510276425071061,0.08563782731653191,0.9755,0.957,0.996773598820059,0.999650769451119,0.6934306569343066,0.9895833333333334,0.8154506437768241,0.9988412514484357,0.9535398230088495,0.9756649688737975
30,0.06319110978767276,0.062082055665086955,0.976375,0.98,0.9970155789085545,0.9996768674198687,0.8333333333333334,0.9895833333333334,0.9047619047619048,0.9988713318284425,0.9789823008849557,0.988826815642458
