Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Val AUC,Val PR AUC,Natural Precision,Natural Recall,Natural F1,Attacked Precision,Attacked Recall,Attacked F1
1,0.3548107552528381,0.2233025764580816,0.895875,0.9,0.9411333333333334,0.9933503114858793,0.0,0.0,0.0,0.9,1.0,0.9473684210526316
2,0.2001245630979538,0.36302552837878466,0.90525,0.749,0.9423666666666666,0.9933203287712649,0.2836676217765043,0.99,0.44097995545657015,0.9984639016897081,0.7222222222222222,0.8381689232753063
3,0.1534883120059967,0.5812545446678996,0.929125,0.646,0.9586,0.9952329800753004,0.22026431718061673,1.0,0.36101083032490977,1.0,0.6066666666666667,0.7551867219917012
4,0.13179811358451843,0.7760372953198384,0.944625,0.9,0.8404611111111111,0.9786824049463547,0.0,0.0,0.0,0.9,1.0,0.9473684210526316
5,0.1141399309784174,0.15710731444414705,0.953,0.924,0.9881222222222222,0.9986943338342941,0.5689655172413793,0.99,0.7226277372262774,0.9987893462469734,0.9166666666666666,0.9559675550405562
6,0.10258094701170921,0.08446703618392348,0.958,0.961,0.9893111111111111,0.9988360317259894,0.8505747126436781,0.74,0.7914438502673796,0.9715224534501643,0.9855555555555555,0.978488692774407
7,0.09091709221899509,1.0318425092846155,0.963625,0.661,0.9800333333333333,0.9977632312697345,0.22779043280182232,1.0,0.37105751391465674,1.0,0.6233333333333333,0.7679671457905544
8,0.08904570646584034,0.2479456847649999,0.96525,0.916,0.9861777777777776,0.9985035735323782,0.9,0.18,0.3,0.9163265306122449,0.9977777777777778,0.9553191489361702
9,0.08307257361710071,9.63798412727192,0.966125,0.9,0.5041388888888889,0.9482203152240665,0.0,0.0,0.0,0.9,1.0,0.9473684210526316
10,0.07928218949213624,1.4548124242573977,0.9665,0.609,0.9560111111111111,0.9950089649269952,0.20366598778004075,1.0,0.338409475465313,1.0,0.5655555555555556,0.7224982256919802
11,0.0716911788545549,0.06917158028227277,0.971,0.965,0.9944000000000001,0.9993898394956521,0.922077922077922,0.71,0.8022598870056497,0.9685807150595883,0.9933333333333333,0.9808008776741634
12,0.06419451263919472,0.0613340467098169,0.975375,0.975,0.9959777777777779,0.9995588186141802,0.8260869565217391,0.95,0.8837209302325583,0.9943502824858758,0.9777777777777777,0.9859943977591036
13,0.06677052674256265,0.07112673943629488,0.974125,0.966,0.9953666666666666,0.9994935410010999,0.9459459459459459,0.7,0.8045977011494254,0.9676025917926566,0.9955555555555555,0.9813800657174151
14,0.06439156199432909,0.07336629932979122,0.976375,0.969,0.9965222222222223,0.9996175985335412,0.7716535433070866,0.98,0.8634361233480176,0.997709049255441,0.9677777777777777,0.9825155104342922
15,0.06374700294621288,0.05996868592046667,0.976,0.972,0.9958777777777779,0.9995486785231402,0.9390243902439024,0.77,0.8461538461538461,0.9749455337690632,0.9944444444444445,0.9845984598459846
16,0.0619288616143167,0.06370924785733223,0.977125,0.972,0.9965444444444445,0.9996201460172989,0.7950819672131147,0.97,0.8738738738738738,0.9965831435079726,0.9722222222222222,0.984251968503937
17,0.06026914725825191,0.09632104728370905,0.979125,0.961,0.9969333333333332,0.9996627095632562,0.7194244604316546,1.0,0.8368200836820083,1.0,0.9566666666666667,0.9778534923339013
18,0.06187010683491826,0.04872424638597295,0.974875,0.985,0.9970666666666667,0.9996780931778142,0.9207920792079208,0.93,0.9253731343283582,0.9922135706340378,0.9911111111111112,0.9916620344635909
19,0.05968824493698776,0.09698490187292919,0.97775,0.96,0.9968333333333332,0.9996516154125661,0.7142857142857143,1.0,0.8333333333333333,1.0,0.9555555555555556,0.9772727272727273
20,0.06204502659663558,0.051931964058894664,0.976125,0.98,0.996188888888889,0.9995815519254784,0.925531914893617,0.87,0.8969072164948454,0.9856512141280354,0.9922222222222222,0.9889258028792913
21,0.05525222526490688,0.16235385736217722,0.98,0.916,0.9958444444444444,0.9995449637584816,0.5434782608695652,1.0,0.704225352112676,1.0,0.9066666666666666,0.9510489510489509
22,0.060156079502776266,0.05063889476878103,0.978,0.981,0.9965555555555556,0.999621660158809,0.9354838709677419,0.87,0.9015544041450777,0.9856670341786108,0.9933333333333333,0.9894853348090757
23,0.055780024698004124,0.04812536301324144,0.9805,0.983,0.9972111111111112,0.9996936071325568,0.8878504672897196,0.95,0.9178743961352657,0.9944008958566629,0.9866666666666667,0.9905186837702175
24,0.05299997348710895,0.048068290372611955,0.98125,0.98,0.9969444444444444,0.9996642440069459,0.8773584905660378,0.93,0.9029126213592233,0.9921700223713646,0.9855555555555555,0.9888517279821627
25,0.05661366615258157,0.04898631958349142,0.98,0.98,0.9966666666666666,0.9996333940970136,0.8773584905660378,0.93,0.9029126213592233,0.9921700223713646,0.9855555555555555,0.9888517279821627
26,0.05350851813144982,0.04797823232365772,0.98275,0.98,0.9969333333333333,0.9996626419824399,0.8773584905660378,0.93,0.9029126213592233,0.9921700223713646,0.9855555555555555,0.9888517279821627
27,0.05593570651859045,0.05171909437922295,0.981125,0.977,0.9970777777777778,0.9996789101631077,0.8407079646017699,0.95,0.892018779342723,0.9943630214205186,0.98,0.987129266927812
28,0.05522321054525674,0.04909787664655596,0.980875,0.981,0.9969777777777777,0.9996682820523047,0.8857142857142857,0.93,0.9073170731707316,0.9921787709497206,0.9866666666666667,0.9894150417827298
29,0.05788371903263032,0.05004774482222274,0.978625,0.978,0.9971666666666668,0.999688697826216,0.8482142857142857,0.95,0.8962264150943395,0.9943693693693694,0.9811111111111112,0.9876957494407159
30,0.057881301302462815,0.05483356172044296,0.978875,0.978,0.9964999999999999,0.9996153471886311,0.8421052631578947,0.96,0.8971962616822429,0.9954853273137697,0.98,0.9876819708846584
